IDP,modality,subtype,pc1_name,region,side,measurement_type,dmri_measure,t1_anatomy_group,notes,ukb_link
IDP-25874,T1,Gray-Cortical,PC-Cortical-1,supracalcarine cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Supracalcarine Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25874
IDP-25875,T1,Gray-Cortical,PC-Cortical-1,supracalcarine cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Supracalcarine Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25875
IDP-25876,T1,Gray-Cortical,PC-Cortical-1,occipital pole,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Occipital Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25876
IDP-25877,T1,Gray-Cortical,PC-Cortical-1,occipital pole,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Occipital Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25877
IDP-25878,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,thalamus,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Thalamus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25878
IDP-25879,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,thalamus,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Thalamus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25879
IDP-25880,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,caudate,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Caudate,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25880
IDP-25881,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,caudate,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Caudate,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25881
IDP-25882,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,putamen,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Putamen,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25882
IDP-25883,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,putamen,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Putamen,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25883
IDP-25884,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,pallidum,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Pallidum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25884
IDP-25885,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,pallidum,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Pallidum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25885
IDP-25886,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,hippocampus,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Hippocampus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25886
IDP-25887,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,hippocampus,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Hippocampus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25887
IDP-25888,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,amygdala,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Amygdala,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25888
IDP-25889,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,amygdala,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Amygdala,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25889
IDP-25890,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,ventral striatum,left,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Left Ventral Striatum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25890
IDP-25891,T1,Gray-Subcortical,PC-Subcortical_GMvol-1,ventral striatum,right,Regional grey matter volumes (FAST),NA,Subcortical,Volume of grey matter in Right Ventral Striatum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25891
IDP-25892,T1,Gray-Brainstem,NA,brain-stem,NA,Regional grey matter volumes (FAST),NA,Brainstem,Volume of grey matter in Brain-Stem,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25892
IDP-25893,T1,Gray-Cerebellum,PC-Cerebellum-1,i-iv cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left I-IV Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25893
IDP-25894,T1,Gray-Cerebellum,PC-Cerebellum-1,i-iv cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right I-IV Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25894
IDP-25895,T1,Gray-Cerebellum,PC-Cerebellum-1,v cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left V Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25895
IDP-25896,T1,Gray-Cerebellum,PC-Cerebellum-1,v cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right V Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25896
IDP-25897,T1,Gray-Cerebellum,PC-Cerebellum-1,vi cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left VI Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25897
IDP-25898,T1,Gray-Cerebellum,PC-Cerebellum-1,vi cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis VI Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25898
IDP-25899,T1,Gray-Cerebellum,PC-Cerebellum-1,vi cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right VI Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25899
IDP-25900,T1,Gray-Cerebellum,PC-Cerebellum-1,crus i cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left Crus I Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25900
IDP-25901,T1,Gray-Cerebellum,PC-Cerebellum-1,crus i cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis Crus I Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25901
IDP-25902,T1,Gray-Cerebellum,PC-Cerebellum-1,crus i cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right Crus I Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25902
IDP-25903,T1,Gray-Cerebellum,PC-Cerebellum-1,crus ii cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left Crus II Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25903
IDP-25904,T1,Gray-Cerebellum,PC-Cerebellum-1,crus ii cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis Crus II Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25904
IDP-25905,T1,Gray-Cerebellum,PC-Cerebellum-1,crus ii cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right Crus II Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25905
IDP-25906,T1,Gray-Cerebellum,PC-Cerebellum-1,viib cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left VIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25906
IDP-25907,T1,Gray-Cerebellum,PC-Cerebellum-1,viib cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis VIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25907
IDP-25908,T1,Gray-Cerebellum,PC-Cerebellum-1,viib cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right VIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25908
IDP-25909,T1,Gray-Cerebellum,PC-Cerebellum-1,viiia cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left VIIIa Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25909
IDP-25910,T1,Gray-Cerebellum,PC-Cerebellum-1,viiia cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis VIIIa Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25910
IDP-25911,T1,Gray-Cerebellum,PC-Cerebellum-1,viiia cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right VIIIa Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25911
IDP-25912,T1,Gray-Cerebellum,PC-Cerebellum-1,viiib cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left VIIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25912
IDP-25913,T1,Gray-Cerebellum,PC-Cerebellum-1,viiib cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis VIIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25913
IDP-25914,T1,Gray-Cerebellum,PC-Cerebellum-1,viiib cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right VIIIb Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25914
IDP-25915,T1,Gray-Cerebellum,PC-Cerebellum-1,ix cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left IX Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25915
IDP-25916,T1,Gray-Cerebellum,PC-Cerebellum-1,ix cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis IX Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25916
IDP-25917,T1,Gray-Cerebellum,PC-Cerebellum-1,ix cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right IX Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25917
IDP-25918,T1,Gray-Cerebellum,PC-Cerebellum-1,x cerebellum,left,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Left X Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25918
IDP-25919,T1,Gray-Cerebellum,PC-Cerebellum-1,x cerebellum,vermis,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Vermis X Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25919
IDP-25920,T1,Gray-Cerebellum,PC-Cerebellum-1,x cerebellum,right,Regional grey matter volumes (FAST),NA,Cerebellum,Volume of grey matter in Right X Cerebellum,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25920
IDP-25056,dMRI,FA,PC-FA-TBSS-1,middle cerebellar peduncle,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25056
IDP-25057,dMRI,FA,PC-FA-TBSS-1,pontine crossing tract,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25057
IDP-25058,dMRI,FA,PC-FA-TBSS-1,genu of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25058
IDP-25059,dMRI,FA,PC-FA-TBSS-1,body of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25059
IDP-25060,dMRI,FA,PC-FA-TBSS-1,splenium of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25060
IDP-25061,dMRI,FA,PC-FA-TBSS-1,fornix,NA,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25061
IDP-25062,dMRI,FA,PC-FA-TBSS-1,corticospinal tract,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in corticospinal tract (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25062
IDP-25063,dMRI,FA,PC-FA-TBSS-1,corticospinal tract,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in corticospinal tract (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25063
IDP-25064,dMRI,FA,PC-FA-TBSS-1,medial lemniscus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in medial lemniscus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25064
IDP-25065,dMRI,FA,PC-FA-TBSS-1,medial lemniscus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in medial lemniscus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25065
IDP-25066,dMRI,FA,PC-FA-TBSS-1,inferior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in inferior cerebellar peduncle (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25066
IDP-25067,dMRI,FA,PC-FA-TBSS-1,inferior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in inferior cerebellar peduncle (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25067
IDP-25068,dMRI,FA,PC-FA-TBSS-1,superior cerebellar peduncle,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior cerebellar peduncle (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25068
IDP-25069,dMRI,FA,PC-FA-TBSS-1,superior cerebellar peduncle,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior cerebellar peduncle (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25069
IDP-25070,dMRI,FA,PC-FA-TBSS-1,cerebral peduncle,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cerebral peduncle (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25070
IDP-25071,dMRI,FA,PC-FA-TBSS-1,cerebral peduncle,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cerebral peduncle (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25071
IDP-25072,dMRI,FA,PC-FA-TBSS-1,anterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in anterior limb of internal capsule (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25072
IDP-25073,dMRI,FA,PC-FA-TBSS-1,anterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in anterior limb of internal capsule (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25073
IDP-25074,dMRI,FA,PC-FA-TBSS-1,posterior limb of internal capsule,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior limb of internal capsule (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25074
IDP-25075,dMRI,FA,PC-FA-TBSS-1,posterior limb of internal capsule,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior limb of internal capsule (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25075
IDP-25076,dMRI,FA,PC-FA-TBSS-1,retrolenticular part of internal capsule,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25076
IDP-25077,dMRI,FA,PC-FA-TBSS-1,retrolenticular part of internal capsule,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25077
IDP-25078,dMRI,FA,PC-FA-TBSS-1,anterior corona radiata,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in anterior corona radiata (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25078
IDP-25079,dMRI,FA,PC-FA-TBSS-1,anterior corona radiata,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in anterior corona radiata (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25079
IDP-25080,dMRI,FA,PC-FA-TBSS-1,superior corona radiata,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior corona radiata (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25080
IDP-25081,dMRI,FA,PC-FA-TBSS-1,superior corona radiata,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior corona radiata (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25081
IDP-25082,dMRI,FA,PC-FA-TBSS-1,posterior corona radiata,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior corona radiata (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25082
IDP-25083,dMRI,FA,PC-FA-TBSS-1,posterior corona radiata,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior corona radiata (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25083
IDP-25084,dMRI,FA,PC-FA-TBSS-1,posterior thalamic radiation,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior thalamic radiation (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25084
IDP-25085,dMRI,FA,PC-FA-TBSS-1,posterior thalamic radiation,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in posterior thalamic radiation (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25085
IDP-25086,dMRI,FA,PC-FA-TBSS-1,sagittal stratum,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in sagittal stratum (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25086
IDP-25087,dMRI,FA,PC-FA-TBSS-1,sagittal stratum,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in sagittal stratum (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25087
IDP-25088,dMRI,FA,PC-FA-TBSS-1,external capsule,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in external capsule (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25088
IDP-25089,dMRI,FA,PC-FA-TBSS-1,external capsule,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in external capsule (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25089
IDP-25090,dMRI,FA,PC-FA-TBSS-1,cingulum cingulate gyrus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cingulum cingulate gyrus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25090
IDP-25091,dMRI,FA,PC-FA-TBSS-1,cingulum cingulate gyrus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cingulum cingulate gyrus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25091
IDP-25092,dMRI,FA,PC-FA-TBSS-1,cingulum hippocampus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cingulum hippocampus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25092
IDP-25093,dMRI,FA,PC-FA-TBSS-1,cingulum hippocampus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in cingulum hippocampus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25093
IDP-25094,dMRI,FA,PC-FA-TBSS-1,fornix cres+stria terminalis,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in fornix cres+stria terminalis (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25094
IDP-25095,dMRI,FA,PC-FA-TBSS-1,fornix cres+stria terminalis,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in fornix cres+stria terminalis (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25095
IDP-25096,dMRI,FA,PC-FA-TBSS-1,superior longitudinal fasciculus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior longitudinal fasciculus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25096
IDP-25097,dMRI,FA,PC-FA-TBSS-1,superior longitudinal fasciculus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior longitudinal fasciculus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25097
IDP-25098,dMRI,FA,PC-FA-TBSS-1,superior fronto-occipital fasciculus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25098
IDP-25099,dMRI,FA,PC-FA-TBSS-1,superior fronto-occipital fasciculus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25099
IDP-25100,dMRI,FA,PC-FA-TBSS-1,uncinate fasciculus,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in uncinate fasciculus (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25100
IDP-25101,dMRI,FA,PC-FA-TBSS-1,uncinate fasciculus,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in uncinate fasciculus (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25101
IDP-25102,dMRI,FA,PC-FA-TBSS-1,tapetum,right,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25102
IDP-25103,dMRI,FA,PC-FA-TBSS-1,tapetum,left,dMRI skeleton (TBSS-style measurement),FA,NA,Mean FA (fractional anisotropy) in tapetum (left) on FA skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25103
IDP-25344,dMRI,ICVF,PC-ICVF-TBSS-1,middle cerebellar peduncle,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25344
IDP-25345,dMRI,ICVF,PC-ICVF-TBSS-1,pontine crossing tract,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25345
IDP-25346,dMRI,ICVF,PC-ICVF-TBSS-1,genu of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25346
IDP-25347,dMRI,ICVF,PC-ICVF-TBSS-1,body of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25347
IDP-25348,dMRI,ICVF,PC-ICVF-TBSS-1,splenium of corpus callosum,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25348
IDP-25349,dMRI,ICVF,PC-ICVF-TBSS-1,fornix,NA,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in fornix on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25349
IDP-25350,dMRI,ICVF,PC-ICVF-TBSS-1,corticospinal tract,right,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25350
IDP-25351,dMRI,ICVF,PC-ICVF-TBSS-1,corticospinal tract,left,dMRI skeleton (TBSS-style measurement),ICVF,NA,Mean ICVF (intra-cellular volume fraction) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25351
